Site4,City,TimeZone,OffUTC,State,Lat,Lon,Elevation(feet)
CYQI,YARMOUTH AIRPORT,AST,-4,NS,43.81666667,-66.06666667,141
CYQR,REGINA,CST,-6,SK,50.43,-104.67,1893
CYQT,THUNDER BAY,EST,-5,ON,48.37,-89.32,653
CYRV,REVELSTOKE AIRPO,PST,-8,BC,50.96666667,-118.1666667,1453
CYSB,SUDBURY,EST,-5,ON,46.62,-80.8,1142
CYSJ,SAINT JOHN,AST,-4,NB,45.31666667,-65.86666667,358
CYTH,THOMPSON AIRPORT,CST,-6,MB,55.78333333,-97.86666667,715
CYTR,TRENTON (CAN MIL,EST,-5,ON,44.11666667,-77.51666667,282
CYTS,TIMMINS AIRPORT,EST,-5,ON,48.56666667,-81.36666667,968
CYTZ,TORONTO IL  VOR,EST,-5,ON,43.61666667,-79.4,253
CYUL,MONTREAL,EST,-5,PQ,45.46,-73.75,118
CYVC,LA RONGE,CST,-6,SK,55.2,-105.3,1243
CYVR,VANCOUVER,PST,-8,BC,49.18,-123.16,7
CYVV,WIARTON AIR,EST,-5,ON,44.75,-81.08333333,728
CYWG,WINNIPEG,CST,-6,MB,49.9,-97.23,784
CYXC,CRANBROOK,MST,-7,BC,49.6,-115.7666667,3081
CYXE,SASKATOON,CST,-6,SK,52.17,-106.7,1654
CYXS,PRINCE GEORGE,PST,-8,BC,53.88,-122.68,2267
CYXU,LONDON,EST,-5,ON,43.03,-81.15,912
CYXX,ABBOTSFORD AIRPO,PST,-8,BC,49.01666667,-122.3666667,190
CYXY,WHITEHORSE,PST,-8,YU,60.7,-135.1,2306
CYYB,NORTH BAY,EST,-5,ON,46.35,-79.42,1217
CYYC,CALGARY,MST,-7,AB,51.1,-114.01,3556
CYYF,PENTICTON AIRPOR,PST,-8,BC,49.46666667,-119.5833333,1129
CYYG,CHARLOTTETOWN,AST,-4,PE,46.28,-63.13,177
CYYJ,VICTORIA INTL AR,PST,-8,BC,48.63333333,-123.4166667,62
CYYT,ST JOHNS,AST,-4,NF,47.6,-52.7,459
CYYZ,TORONTO,EST,-5,ON,43.68,-79.63,568
CYZE,GORE BAY AIRPORT,EST,-5,ON,45.86666667,-82.56666667,633
CYZF,YELLOWKNIFE,PST,-8,NT,62.5,-114.4,676
CZPC,PINCHER CREEK(M,MST,-7,AB,49.51666667,-114,3904
KABE,ALLENTOWN,EST,-5,PA,40.65,-75.44,374
KABI,ABILENE,CST,-6,TX,32.41,-99.68,1798
KABQ,ALBUQUERQUE,MST,-7,NM,35.04,-106.6,5308
KABR,ABERDEEN,CST,-6,SD,45.44,-98.42,1302
KABY,ALBANY,EST,-5,GA,31.53,-84.18,190
KACT,WACO,CST,-6,TX,31.61,-97.22,495
KACV,EUREKA,PST,-8,CA,40.98,-124.1,220
KACY,ATLANTIC CITY,EST,-5,NJ,39.45,-74.56,75
KADG,ADRIAN,EST,-5,MI,41.86666667,-84.08333333,791
KADW,ANDREWS AFB,EST,-5,MD,38.81666667,-76.86666667,282
KAEX,ENGLAND AFB,CST,-6,LA,31.33,-92.55,89
KAGS,AUGUSTA,EST,-5,GA,33.36,-81.96,144
KAHN,ATHENS,EST,-5,GA,33.94,-83.32,801
KALB,ALBANY,EST,-5,NY,42.74,-73.8,302
KALO,WATERLOO,CST,-6,IA,42.55,-92.4,866
KAMA,AMARILLO,CST,-6,TX,35.21,-101.7,3586
KAMG,ALMA,EST,-5,GA,31.54,-82.5,194
KANJ,SAULT STE MARIE,EST,-5,MI,46.48,-84.36,715
KAOO,ALTOONA,EST,-5,PA,40.3,-78.31,1493
KAPN,ALPENA,EST,-5,MI,45.07,-83.58,689
KART,WATERTOWN,EST,-5,NY,44,-76.02,328
KAST,ASTORIA,PST,-8,OR,46.15,-123.88,10
KATL,ATLANTA,EST,-5,GA,33.64,-84.42,971
KATT,AUSTIN,CST,-6,TX,30.29,-97.7,620
KATY,WATERTOWN,CST,-6,SD,44.92,-97.15,1745
KAUG,AUGUSTA,EST,-5,ME,44.32,-69.8,358
KAUS,AUSTIN,CST,-6,TX,30.29,-97.7,545
KAVL,ASHEVILLE,EST,-5,NC,35.43,-82.53,2198
KAVP,SCRANTON-WILKES-BARRE,EST,-5,PA,41.33,-75.72,955
KAXN,ALEXANDRIA,CST,-6,MN,45.87,-95.38,1421
KBDL,HARTFORD,EST,-5,CT,41.93,-72.68,197
KBDR,BRIDGEPORT,EST,-5,CT,41.17,-73.13,23
KBEH,BENTON HARBOR,EST,-5,MI,42.13,-86.43,627
KBFD,BRADFORD,EST,-5,PA,41.89,-78.71,2123
KBFF,SCOTTSBLUFF,MST,-7,NE,41.87,-103.59,3947
KBFL,BAKERSFIELD,PST,-8,CA,35.43,-119.05,495
KBGM,BINGHAMTON,EST,-5,NY,42.2,-75.98,1608
KBGR,BANGOR,EST,-5,ME,44.8,-68.82,187
KBHM,BIRMINGHAM,CST,-6,AL,33.56,-86.75,646
KBIL,BILLINGS,MST,-7,MT,45.8,-108.54,3579
KBIS,BISMARK,CST,-6,ND,46.77,-100.74,1657
KBKW,BECKLEY,EST,-5,WV,37.79,-81.12,2507
KBLI,BELLINGHAM,PST,-8,WA,48.8,-122.53,164
KBMG,BLOOMINGTON,CST,-6,IN,39.13,-86.61,843
KBMI,BLOOMINGTON,EST,-5,IL,40.29,-88.57,876
KBNA,NASHVILLE,CST,-6,TN,36.11,-86.68,689
KBOI,BOISE,MST,-7,ID,43.56,-116.22,2871
KBOS,BOSTON,EST,-5,MA,42.36,-71.01,20
KBRO,BROWNSVILLE,CST,-6,TX,25.9,-97.42,23
KBTM,BUTTE,MST,-7,MT,45.95,-112.5,5538
KBTR,BATON ROUGE,CST,-6,LA,30.53,-91.14,69
KBTV,BURLINGTON,EST,-5,VT,44.46,-73.15,344
KBUF,BUFFALO,EST,-5,NY,42.94,-78.73,692
KBUR,BURBANK,PST,-8,CA,34.2,-118.35,712
KBVO,BARTLESVILLE,CST,-6,OK,36.45,-96,689
KBWG,BOWLING GREEN,CST,-6,KY,36.97,-86.43,551
KBWI,BALTIMORE,EST,-5,MD,39.17,-76.68,194
KCAE,COLUMBIA,EST,-5,SC,33.94,-81.12,230
KCAK,AKRON,EST,-5,OH,40.91,-81.43,1237
KCAR,CARIBOU,EST,-5,ME,46.86,-68.03,627
KCDC,CEDAR CITY,MST,-7,UT,37.7,-113.1,5623
KCHA,CHATTANOOGA,EST,-5,TN,35.03,-85.2,689
KCHK,CHICKASHA,CST,-6,OK,35.1,-97.96666667,1152
KCHS,CHARLESTON,EST,-5,SC,32.89,-80.04,43
KCLE,CLEVELAND,EST,-5,OH,41.4,-81.85,764
KCLT,CHARLOTTE,EST,-5,NC,35.22,-80.95,722
KCMH,COLUMBUS,EST,-5,OH,39.99,-82.88,810
KCNK,CONCORDIA,CST,-6,KS,39.54,-97.65,1467
KCON,CONCORD,EST,-5,NH,43.19,-71.5,338
KCOS,COLORADO SPR,MST,-7,CO,38.81,-104.71,6089
KCOU,COLUMBIA,CST,-6,MO,38.81,-92.21,889
KCPR,CASPER,MST,-7,WY,42.89,-106.46,5318
KCQT,LOS ANGELES,PST,-8,CA,34.03,-118.3,184
KCRP,CORPUS CHRISTI,CST,-6,TX,27.77,-97.51,46
KCRW,CHARLESTON,EST,-5,WV,38.37,-81.59,1014
KCTB,CUTBANK,MST,-7,MT,48.6,-112.37,3855
KCVG,COVINGTON,EST,-5,KY,39.04,-84.67,883
KCYS,CHEYENNE,MST,-7,WY,41.15,-104.8,6129
KDAB,DAYTONA BEACH,EST,-5,FL,29.17,-81.06,30
KDAG,DAGGETT,PST,-8,CA,34.87,-116.78,1926
KDAL,DALLAS,CST,-6,TX,32.85,-96.85,518
KDAY,DAYTON,EST,-5,OH,39.9,-84.21,1001
KDBQ,DUBUQUE,CST,-6,IA,42.4,-90.7,1070
KDCA,WASHINGTON,EST,-5,DC,38.86,-77.03,59
KDDC,DODGE CITY,CST,-6,KS,37.77,-99.96,2589
KDEC,DECATUR,CST,-6,IL,39.83,-88.87,679
KDEN,BOULDER/DENVER,MST,-7,CO,39.76,-104.86,5381
KDFW,DALLAS,CST,-6,TX,32.89,-97.01,571
KDHT,DALHART,CST,-6,TX,36.02,-102.55,3993
KDLH,DULUTH,CST,-6,MN,46.83,-92.21,1427
KDOV,DOVER AFB,EST,-5,DE,39.11666667,-75.46666667,30
KDRT,DEL RIO,CST,-6,TX,29.37,-100.92,1027
KDSM,DES MOINES,CST,-6,IA,41.53,-93.66,968
KDTW,DETROIT,EST,-5,MI,42.21,-83.34,640
KDUJ,DUBOIS,EST,-5,PA,41.18,-78.9,1818
KEKO,ELKO,PST,-8,NV,40.83,-115.79,5075
KELP,EL PASO,MST,-7,TX,31.81,-106.37,3927
KELY,ELY,PST,-8,NV,39.29,-114.84,6253
KERI,ERIE,EST,-5,PA,42.08,-80.18,728
KESF,ALEXANDRIA,CST,-6,LA,31.4,-92.3,92
KEUG,EUGENE,PST,-8,OR,44.11,-123.21,374
KEVV,EVANSVILLE,EST,-5,IN,38.04,-87.53,384
KEWR,NEWARK,EST,-5,NJ,40.71,-74.17,23
KEYW,KEY WEST,EST,-5,FL,24.55,-81.75,16
KFAR,FARGO,CST,-6,ND,46.92,-96.81,909
KFAT,FRESNO,PST,-8,CA,36.78,-119.71,341
KFLG,FLAGSTAFF,MST,-7,AZ,35.14,-111.67,7001
KFLO,FLORENCE,EST,-5,SC,34.18,-79.72,144
KFMY,FORT MYERS,EST,-5,FL,26.58,-81.86,13
KFNT,FLINT,EST,-5,MI,42.96,-83.75,764
KFSD,SIOUX FALLS,CST,-6,SD,43.57,-96.75,1430
KFSM,FORT SMITH,CST,-6,AR,35.33,-94.36,459
KFTW,FORT WORTH,CST,-6,TX,32.81,-97.36,702
KFWA,FORT WAYNE,EST,-5,IN,41,-85.2,814
KFYV,FAYETTEVILLE,CST,-6,AR,36,-94.17,1243
KGAG,GAGE,CST,-6,OK,36.3,-99.77,2192
KGEG,SPOKANE,PST,-8,WA,47.62,-117.52,2411
KGFK,GRAND FORKS,CST,-6,ND,47.95,-97.18,623
KGGG,LONGVIEW,CST,-6,TX,32.38,-94.72,351
KGGW,GLASGOW,MST,-7,MT,48.21,-106.62,2277
KGIF,WINTER HAVEN,EST,-5,FL,28.07,-81.75,141
KGJT,GRAND JUCNTION,MST,-7,CO,39.13,-108.53,4839
KGLD,GOODLAND,MST,-7,KS,39.37,-101.69,3652
KGPI,KALISPELL,MST,-7,MT,48.32,-114.24,2979
KGRB,GREEN BAY,CST,-6,WI,44.47,-88.13,682
KGRI,GRAND ISLAND,CST,-6,NE,40.95,-98.31,1841
KGRR,GRAND RAPIDS,EST,-5,MI,42.88,-85.52,778
KGSO,GREENSBORO,EST,-5,NC,36.09,-79.94,902
KGSP,GREENVILLE-SPARTANBURG,EST,-5,SC,34.89,-82.21,942
KGTF,GREAT FALLS,MST,-7,MT,47.47,-111.38,3671
KGVL,GAINESVILLE,EST,-5,GA,34.27,-83.83,1266
KHIB,HIBBING,CST,-6,MN,47.38,-92.85,1352
KHKY,HICKORY,EST,-5,NC,35.75,-81.38,1161
KHLN,HELENA,MST,-7,MT,46.6,-111.96,3894
KHON,HURON,CST,-6,SD,44.39,-98.22,1280
KHOU,HOUSTON,CST,-6,TX,29.65,-95.28,118
KHPN,WHITE PLAINS,EST,-5,NY,41.07,-73.72,397
KHSE,CAPE HATTERAS,EST,-5,NC,35.23,-75.62,10
KHSI,HASTINGS,CST,-6,NE,40.6,-98.43,1939
KHSV,HUNTSVILLE,CST,-6,AL,34.64,-86.78,627
KHTS,HUNTINGTON,EST,-5,WV,38.38,-82.55,833
KHUF,TERRE HAUTE,EST,-5,IN,39.45,-87.31,587
KHVR,HAVRE,MST,-7,MT,48.54,-109.76,2582
KIAD,WASHINGTON,EST,-5,DC,38.93,-77.44,305
KIAH,HOUSTON,CST,-6,TX,29.99,-95.36,118
KICT,WICHITA,CST,-6,KS,37.64,-97.42,1335
KILG,WILMINGTON,EST,-5,DE,39.67,-75.6,92
KILM,WILMINGTON,EST,-5,NC,34.26,-77.9,30
KIND,INDIANAPOLIS,EST,-5,IN,39.71,-86.27,791
KINL,INT FALLS,CST,-6,MN,48.56,-93.39,1181
KINT,WINSTON-SALEM,EST,-5,NC,36.13,-80.21,955
KIPT,WILLIAMSPORT,EST,-5,PA,41.24,-76.92,538
KISN,WILLISTON,CST,-6,ND,48.19,-103.64,1900
KJAN,JACKSON,CST,-6,MS,32.31,-90.07,299
KJAX,JACKSONVILLE,EST,-5,FL,30.49,-81.69,33
KJFK,NEW YORK CITY,EST,-5,NY,40.65,-73.79,30
KJLN,JOPLIN,CST,-6,MO,37.17,-94.5,981
KJXN,JACKSON,EST,-5,MI,42.27,-84.47,1001
KLAF,LAFAYETTE,EST,-5,IN,40.42,-86.93,597
KLAN,LANSING,EST,-5,MI,42.78,-84.57,866
KLAR,LARAMIE,MST,-7,WY,41.32,-105.68,7270
KLAS,LAS VEGAS,PST,-8,NV,36.07,-115.15,2087
KLAW,LAWTON_MUNI,CST,-6,OK,34.57,-98.42,1106
KLAX,LOS ANGELES,PST,-8,CA,33.93,-118.4,151
KLBB,LUBBOCK,CST,-6,TX,33.66,-101.82,3258
KLBF,NORTH PLATTE,CST,-6,NE,41.12,-100.66,2779
KLCH,LAKE CHARLES,CST,-6,LA,30.12,-93.22,13
KLEX,LEXINGTON,EST,-5,KY,38.04,-84.6,984
KLGA,NEW YORK CITY,EST,-5,NY,40.77,-73.88,36
KLGB,LONG BEACH,PST,-8,CA,33.82,-118.16,33
KLIT,LITTLE ROCK,CST,-6,AR,34.75,-92.23,259
KLNK,LINCOLN,CST,-6,NE,40.85,-96.75,1194
KLRD,LAREDO AFB,CST,-6,TX,27.53,-99.47,509
KLUK,CINCINNATI/LUNK,EST,-5,OH,39.1,-84.43,509
KLWS,LEWISTON,PST,-8,ID,46.38,-117.02,1437
KMAF,MIDLAND,CST,-6,TX,31.94,-102.19,2867
KMCI,KANSAS CITY,CST,-6,KS,39.29,-94.71,1050
KMCN,MACON,EST,-5,GA,32.68,-83.65,358
KMCO,ORLANDO,EST,-5,FL,28.43,-81.32,95
KMCW,MASON CITY,CST,-6,IA,43.15,-93.33,1211
KMDT,HARRISBURG,EST,-5,PA,40.2,-76.76,312
KMDW,CHICAGO,CST,-6,IL,41.78,-87.75,617
KMEI,MERIDIAN,CST,-6,MS,32.33,-88.74,292
KMEM,MEMPHIS,CST,-6,TN,35.05,-90,282
KMFR,MEDFORD,PST,-8,OR,42.38,-122.87,1299
KMGM,MONTGOMERY,CST,-6,AL,32.29,-86.4,207
KMGW,MORGANTOWN,EST,-5,WV,39.65,-79.92,1240
KMIA,MIAMI,EST,-5,FL,25.82,-80.29,26
KMKE,MILWAUKEE,CST,-6,WI,42.94,-87.89,676
KMKG,MUSKEGON,EST,-5,MI,43.17,-86.23,627
KMLB,MELBOURNE,EST,-5,FL,28.1,-80.63,36
KMLC,MCALESTER,CST,-6,OK,34.88,-95.78,761
KMLI,MOLINE,CST,-6,IL,41.46,-90.52,604
KMOB,MOBILE,CST,-6,AL,30.68,-88.24,207
KMOT,MINOT,CST,-6,ND,48.26,-101.28,1703
KMSN,MADISON,CST,-6,WI,43.14,-89.34,856
KMSO,MISSOULA,MST,-7,MT,46.92,-114.09,3199
KMSP,MINN/ST. PAUL,CST,-6,MN,44.88,-93.23,869
KMSY,NEW ORLEANS,CST,-6,LA,29.99,-90.25,16
KMYF,SAN DIEGO,PST,-8,CA,32.82,-117.15,446
KNHK,PATUXENT RIVER,EST,-5,MD,38.28,-76.4,39
KNYC,NEW YORK CITY - CENTRAL PARK,EST,-5,NY,40.47,-73.58,36
KNYG,QUANTICO MCAF,EST,-5,VA,38.5,-77.28333333,13
KNYL,YUMA,MST,-7,AZ,32.67,-114.6,213
KOAK,OAKLAND,PST,-8,CA,37.71,-122.21,85
KOGD,OGDEN,MST,-7,UT,41.12,-112.01,4439
KOKC,OKLAHOMA CITY,CST,-6,OK,35.38,-97.6,1280
KOKK,KOKOMO,EST,-5,IN,40.53333333,-86.06666667,830
KOMA,OMAHA,CST,-6,NE,41.31,-95.89,1024
KORD,CHICAGO,CST,-6,IL,41.98,-87.91,656
KORF,NORFOLK,EST,-5,VA,36.9,-76.19,46
KOSU,COLUMBUS,EST,-5,OH,40.05,-83.05,919
KOTG,WORTHINGTON,CST,-6,MN,43.39,-95.35,1575
KPAH,PADUCAH,CST,-6,KY,37.06666667,-88.76666667,390
KPBF,PINE BLUFF,CST,-6,AR,34.11,-91.56,203
KPBI,WEST PALM BEACH,EST,-5,FL,26.68,-80.09,20
KPDT,PENDLETON,PST,-8,OR,45.69,-118.83,1516
KPDX,PORTLAND,PST,-8,OR,45.59,-122.6,23
KPHL,PHILADELPHIA,EST,-5,PA,39.86,-75.23,59
KPHX,PHOENIX,MST,-7,AZ,33.44,-111.99,1102
KPIA,PEORIA,CST,-6,IL,40.66,-89.68,673
KPIH,POCATELLO,MST,-7,ID,42.92,-112.57,4459
KPIR,PIERRE,CST,-6,SD,44.38,-100.28,1726
KPIT,PITTSBURGH,EST,-5,PA,40.5,-80.23,1171
KPNC,PONCA CITY,CST,-6,OK,36.44,-97.06,1010
KPNS,PENSACOLA,CST,-6,FL,30.47,-87.18,125
KPRX,PARIS,CST,-6,TX,33.38,-95.27,548
KPUB,PUEBLO,MST,-7,CO,38.17,-104.3,4659
KPVD,PROVIDENCE,EST,-5,RI,41.72,-71.43,52
KPWM,PORTLAND,EST,-5,ME,43.64,-70.3,49
KRAP,RAPID CITY,MST,-7,SD,44.04,-103.05,3166
KRDD,REDDING,PST,-8,CA,40.31,-122.18,509
KRDG,READING,EST,-5,PA,40.22,-75.58,358
KRDU,RALEIGH,EST,-5,NC,35.87,-78.78,427
KRFD,ROCKFORD,CST,-6,IL,42.19,-89.09,725
KRIC,RICHMOND,EST,-5,VA,37.51,-77.32,164
KRIV,RIVERSIDE,PST,-8,CA,33.9,-117.25,1539
KRNO,RENO,PST,-8,NV,39.48,-119.77,4403
KROA,ROANOKE,EST,-5,VA,37.31,-79.97,1188
KRST,ROCHESTER,CST,-6,MN,43.9,-92.49,1322
KSAC,SACRAMENTO,PST,-8,CA,38.5,-121.49,36
KSAN,SAN DIEGO,PST,-8,CA,32.73,-117.16,39
KSAT,SAN ANTONIO,CST,-6,TX,29.53,-98.46,797
KSAV,SAVANNAH,EST,-5,GA,32.11,-81.2,46
KSBA,SANTA BARBARA,PST,-8,CA,34.43,-119.85,10
KSBN,SOUTH BEND,EST,-5,IN,41.7,-86.33,778
KSDF,LOUISVILLE,EST,-5,KY,38.17,-85.72,479
KSEA,SEATTLE,PST,-8,WA,47.46,-122.31,446
KSEG,SELINSGROVE,EST,-5,PA,40.81666667,-76.86666667,440
KSFO,SAN FRANCISCO,PST,-8,CA,37.61,-122.39,10
KSGF,SPRINGFIELD,CST,-6,MO,37.23,-93.38,1280
KSHR,SHERIDAN,MST,-7,WY,44.77,-106.96,3944
KSHV,SHREVEPORT,CST,-6,LA,32.44,-93.82,272
KSJT,SAN ANGELO,CST,-6,TX,31.35,-100.49,1890
KSLC,SALT LAKE CITY,MST,-7,UT,40.78,-111.96,4219
KSPI,SPRINGFIELD,CST,-6,IL,39.84,-89.68,594
KSPS,WICHITA FALLS,CST,-6,TX,33.97,-98.49,1010
KSTL,ST. LOUIS,CST,-6,MO,38.75,-90.37,561
KSUX,SIOUX CITY,CST,-6,IA,42.39,-96.37,1109
KSYR,SYRACUSE,EST,-5,NY,43.1,-76.1,417
KTCM,TACOMA,PST,-8,WA,47.09,-122.29,322
KTLH,TALLAHASSEE,EST,-5,FL,30.39,-84.35,62
KTNB,BOONE,EST,-5,NC,36.199,-81.651,2989
KTOL,TOLEDO,EST,-5,OH,41.58,-83.8,689
KTOP,TOPEKA,CST,-6,KS,39.07,-95.62,879
KTPA,TAMPA,EST,-5,FL,27.96,-82.54,36
KTRI,BRISTOL,EST,-5,TN,36.47,-82.4,1555
KTUL,TULSA,CST,-6,OK,36.19,-95.88,679
KTUP,TUPELO,CST,-6,MS,34.16,-88.46,344
KTUS,TUCSON,MST,-7,AZ,32.13,-110.95,2579
KTYS,KNOXVILLE,EST,-5,TN,35.81,-83.98,991
KUIL,QUILLAYUTE,PST,-8,WA,47.93,-124.56,177
KUKI,UKIAH,PST,-8,CA,39.13,-123.2,614
KUNI,ATHENS,EST,-5,OH,39.21666667,-82.23333333,633
KVAD,VALDOSTA,EST,-5,GA,30.58,-83.12,233
KVCT,VICTORIA,CST,-6,TX,28.86,-96.93,102
KVLD,VALDOSTA,EST,-5,GA,30.78,-83.28,203
KYKM,YAKIMA,PST,-8,WA,46.56,-120.54,1063
KYNG,YOUNGSTOWN,EST,-5,OH,41.25,-80.67,1181
KZZV,ZANESVILLE,EST,-5,OH,39.57,-81.54,879
